# time_delay #S1 #S2 #S3 #S4 #S5 #S6 #S7 #S8 #S9 #S10
120.000000 1.664327 1.813732 1.756505 1.943460 2.088834 2.290249 1.847634 1.834591 1.782571 1.941056
150.000000 1.682957 1.711339 1.711595 1.775683 2.757394 1.941467 1.777545 1.709451 1.728024 1.748486
20.000000 1.069231 1.028489 1.126876 1.044350 1.563046 2.470908 1.162017 0.961755 1.564680 1.098839
50.000000 1.258128 1.258432 1.359012 1.249712 1.782033 2.312276 1.375213 1.213440 2.264316 1.339960
160.000000 1.914836 1.983724 1.829197 1.951841 2.358853 2.223573 1.919717 1.926799 1.946481 1.990840
130.000000 1.729872 1.703841 1.713227 1.713454 2.005508 4.214411 1.725770 1.699632 1.745919 1.702652
90.000000 1.305087 1.377215 1.544194 1.387637 1.636982 2.327112 1.611881 1.304019 1.744722 1.477808
100.000000 1.601596 1.626051 1.605657 1.602480 2.545652 2.043232 1.593421 1.630202 2.430596 1.610509
70.000000 1.110067 1.159835 1.085180 1.135596 2.023741 1.633401 1.122763 1.140266 1.136922 1.148700
40.000000 1.106528 1.145737 1.199347 1.152539 1.827913 4.626714 1.232892 1.123339 1.614459 1.168916
10.000000 1.172426 1.234493 0.837829 0.895851 3.045784 2.883571 0.861451 0.963861 1.722646 0.824357
170.000000 1.817364 1.902202 1.805280 1.844978 2.039364 2.512021 1.847496 1.800427 2.025236 1.896489
140.000000 1.651620 1.727797 1.659492 1.689545 2.411126 2.062969 1.698847 1.724578 1.799227 1.744128
110.000000 1.457376 1.493623 1.465277 1.504548 2.141532 3.278369 1.502196 1.466490 1.496949 1.509279
60.000000 1.617488 1.734184 1.839925 1.807257 2.440287 2.385395 1.904859 1.681199 1.717484 1.910827
80.000000 1.306581 1.290551 1.500663 1.350951 1.827840 1.878190 1.560160 1.281566 1.545400 1.430751
30.000000 1.010491 1.086730 0.969814 1.008088 1.792261 4.397041 0.973740 1.003478 1.702755 0.995972
