# time_delay #S1 #S2 #S3 #S4 #S5 #S6 #S7 #S8 #S9 #S10
120.000000 1.185175 0.949160 1.090241 1.884458 1.957679 0.924338 2.150342 0.917922 2.396773 0.924421
150.000000 1.166590 0.898652 0.909163 2.037456 1.826302 0.853504 1.232959 0.857943 1.192944 0.861656
20.000000 0.676992 0.685441 0.737759 0.628250 0.631480 0.625621 0.723852 0.687145 0.708163 0.667442
50.000000 3.046284 0.895028 1.092930 1.191281 1.654356 0.872191 1.383436 0.885001 1.884246 0.905181
160.000000 1.965851 1.087195 1.015975 1.321375 4.089374 1.009321 1.412895 1.006437 1.775590 1.038353
130.000000 1.402254 1.133858 1.043038 2.694759 1.709425 1.054811 2.476330 1.018312 1.831393 1.416618
90.000000 1.627240 1.043755 0.982626 1.765097 1.372866 0.930709 1.668249 0.920376 2.020458 0.900468
100.000000 1.648528 0.853633 0.829953 1.117873 1.615938 0.842320 1.240425 0.854330 2.714186 0.817619
70.000000 1.112435 0.806451 0.794048 1.062827 0.990927 0.823025 1.389866 0.870629 1.256898 0.772459
40.000000 0.977609 0.782930 0.752600 1.164680 1.048693 0.780926 1.521068 0.888820 1.176247 0.738831
10.000000 0.729367 0.863927 0.672677 1.069729 1.264110 0.932462 1.749481 0.705962 1.592841 0.651007
170.000000 1.371449 0.893506 0.877352 1.498016 1.992914 0.889723 1.405188 0.895122 2.216777 0.977395
140.000000 1.952167 0.959204 0.955436 1.607078 1.349531 0.954917 2.847025 0.969904 1.427620 0.969298
110.000000 2.198825 0.854991 0.922178 1.572899 1.590467 0.879758 2.686872 0.824158 3.024856 1.764239
60.000000 2.359909 0.808945 0.948166 1.367668 1.272845 1.092916 1.443530 0.802859 1.229540 0.804862
80.000000 1.411057 0.902106 0.949201 1.502999 1.301920 0.955929 1.551237 1.094937 1.628401 0.912513
30.000000 1.438205 1.347799 1.040000 1.117108 1.614614 1.314387 1.171794 1.314045 1.264589 1.081165
