# time_delay #S1 #S2 #S3 #S4 #S5 #S6 #S7 #S8 #S9 #S10
120.000000 1.749834 1.798984 1.875360 2.082451 2.128056 1.798221 2.034231 1.988636 2.514948 1.843533
150.000000 2.489558 2.728058 1.686017 2.135125 3.167308 2.689274 2.036396 1.686617 1.917559 1.625026
20.000000 1.661588 0.925854 0.917357 1.129831 1.365014 0.907690 1.155960 0.927563 3.174446 0.891897
50.000000 1.236453 1.063080 1.062350 1.784292 1.780926 1.054600 1.326076 1.055294 1.752866 1.060275
160.000000 5.825527 2.402108 2.110916 4.148215 3.395371 2.116705 4.105437 2.143759 3.352932 2.179786
130.000000 1.263227 1.368114 1.247903 1.775429 1.886450 1.232621 1.723206 1.434284 2.787918 1.236405
90.000000 1.663684 1.521533 1.387601 2.212385 1.827898 1.731913 1.856921 1.378946 1.958312 1.346634
100.000000 1.753977 2.036338 2.283632 2.204260 2.278439 1.962111 2.078316 2.383060 2.220479 2.285939
70.000000 1.414144 1.151226 1.328981 1.977857 1.659073 1.132304 1.875165 1.349346 2.148898 1.253849
40.000000 1.452918 1.082808 1.017681 1.315712 1.682270 1.035947 1.444487 0.997774 2.033097 1.058916
10.000000 1.180572 0.727109 0.698320 1.973716 1.785634 0.702310 1.669526 0.708002 2.701470 0.678591
170.000000 2.422197 1.712992 1.726524 1.970317 1.993828 1.710900 3.337003 1.715435 1.982046 1.705406
140.000000 1.966733 1.831791 1.907590 2.115911 4.280127 1.874004 2.094024 1.806345 2.808522 1.905659
110.000000 1.887913 1.599531 1.624734 2.068248 2.363456 1.537360 2.496109 2.059655 1.986284 1.731102
60.000000 2.069426 1.701093 1.608259 1.871839 3.147541 1.587748 2.146010 1.456112 4.323715 1.748763
80.000000 1.367734 1.706013 2.016514 1.712106 1.862117 1.705279 2.463552 2.050770 2.784387 1.922349
30.000000 1.577766 1.104936 0.958948 1.715336 1.494879 1.054330 1.570761 0.955744 2.446721 0.966187
