# time_delay #S1 #S2 #S3 #S4 #S5 #S6 #S7 #S8 #S9 #S10
120.000000 1.054001 0.998335 1.274831 1.119396 0.632269 0.570897 1.119950 1.071007 0.640463 1.082979
150.000000 1.550946 1.485750 1.900655 1.515970 0.655134 0.572351 1.921748 1.870305 0.668353 1.497911
20.000000 0.606745 0.609518 0.607092 0.609443 0.637586 0.564220 0.643887 0.597275 0.639799 0.571999
50.000000 0.974725 1.027057 1.012824 0.995767 0.643271 0.580573 0.976464 0.984499 0.648622 1.001449
160.000000 1.688142 1.919299 1.590871 1.665326 0.633351 0.551529 1.538599 1.796392 0.651959 1.877273
130.000000 1.257262 1.478115 1.394583 1.426189 0.639608 0.568298 1.330922 1.374392 0.633827 1.191318
90.000000 0.962154 0.952616 0.998941 0.972156 0.621410 0.575541 0.989311 1.002858 0.643854 0.948023
100.000000 1.257209 1.134911 1.121472 1.154796 0.652695 0.598699 1.205959 1.215143 0.638026 1.261075
70.000000 0.825395 0.783910 0.801743 0.833849 0.659190 0.564068 0.857895 0.791174 0.688723 0.795623
40.000000 0.632834 0.635567 0.661313 0.640025 0.642269 0.593888 0.676149 0.667112 0.636971 0.678317
10.000000 0.614386 0.610585 0.605810 0.617083 0.651135 0.580468 0.642294 0.613650 0.633904 0.581209
170.000000 1.172119 1.167361 1.094195 1.195651 0.639888 0.585771 1.147854 1.112323 0.637302 1.046577
140.000000 1.427697 1.320625 1.274659 1.306707 0.649160 0.591707 1.310170 1.352469 0.665674 1.364239
110.000000 1.312377 1.392588 1.372888 1.367129 0.630715 0.584915 1.362176 1.320198 0.639456 1.373673
60.000000 0.847414 0.800725 0.797772 0.873515 0.656460 0.560076 0.938293 0.827882 0.663768 0.810594
80.000000 1.531775 1.414090 1.373746 1.393337 0.638585 0.585222 1.427700 1.428842 0.648397 1.488625
30.000000 0.693638 0.690058 0.673774 0.683799 0.636337 0.569111 0.714174 0.677838 0.645577 0.649566
